Recdate Month ID	Repdate Month ID	Catalog Number	GPID	ISRC	Product Title	Project Title	Artist Name	Config	Config Desc	Config Type	Account	Account Name	Payee	Start Period	End Period	Price Code	Price Desc	Dist. Ch.	Dist Chan Desc	Territory Code	Location	Country	DSP Number	Digital Service Provider(DSP)	Sale Units	Royalty Payable	Deductible Fees	Net Royalty Payable	Net Splitted Royalty Payable	Local Product Number	Marketing Owner	Marketing Owner Name
45661	45303	A10302B0010989916G	A10302B0010989916G	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	74000	IRELAND WM	IE	775	Instagram	7	0.001430	0.000214	0.001216	0.000122		5715-329	Woss Music
45661	45303	A10302B0010989916G	A10302B0010989916G	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	51000	CANADA WM	CA	782	TikTok	6	0.157384	0.023608	0.133776	0.013378		5715-329	Woss Music
45661	45303	A10302B0010989916G	A10302B0010989916G	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	51000	CANADA WM	CA	782	TikTok	6	0.157384	0.023608	0.133776	0.013378		5715-329	Woss Music
45661	45658	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57500	MEXICO WM	MX	4	Apple Music	17	0.047530	0.007130	0.040400	0.004040		5715-329	Woss Music
45661	45658	A10302B0011002218L	A10302B0011002218L	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57500	MEXICO WM	MX	4	Apple Music	17	0.047530	0.007130	0.040400	0.004040		5715-329	Woss Music
45661	45658	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57500	MEXICO WM	MX	4	Apple Music	121	0.338305	0.050746	0.287559	0.028756		5715-329	Woss Music
45661	45658	A10302B00109899368	A10302B00109899368	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	3	Subscription	57500	MEXICO WM	MX	4	Apple Music	121	0.338305	0.050746	0.287559	0.028756		5715-329	Woss Music
45661	45302	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	73250	EASTERN EUROPE	RS	767	Facebook	1	0.000029	0.000004	0.000025	0.000003		5715-329	Woss Music
45661	45302	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	73250	EASTERN EUROPE	RS	767	Facebook	1	0.000029	0.000004	0.000025	0.000003		5715-329	Woss Music
45661	45659	A10302B0010989917E	A10302B0010989917E	QZWFE2479894	DURA	BENZE	BENZE	IS	Internet Single	Digital	99358	WOSS MUSIC - DIST. AGMT.	WOSS MUSIC	45661	45661	S1	Streaming Full Price	4	Ad Supported	57000	WEA LATINA	US	637	Pandora	4	0.016000	0.002400	0.013600	0.001360		5715-329	Woss Music
